Numero Esecuzione,Numero Thread,File di Input,Tempo di Esecuzione (s),Eseguibile
7,7,data/numbers_10000.txt,646.1109,fft_og.exe
8,7,data/numbers_10000.txt,617.2224,fft_og.exe
9,7,data/numbers_10000.txt,620.8751,fft_og.exe
10,7,data/numbers_10000.txt,626.9425,fft_og.exe
1,8,data/numbers_10000.txt,597.1955,fft_og.exe
2,8,data/numbers_10000.txt,589.6515,fft_og.exe
3,8,data/numbers_10000.txt,611.5146,fft_og.exe
4,8,data/numbers_10000.txt,596.2565,fft_og.exe
5,8,data/numbers_10000.txt,593.4427,fft_og.exe
6,8,data/numbers_10000.txt,620.9127,fft_og.exe
7,8,data/numbers_10000.txt,588.9774,fft_og.exe
8,8,data/numbers_10000.txt,592.5749,fft_og.exe
9,8,data/numbers_10000.txt,576.0038,fft_og.exe
10,8,data/numbers_10000.txt,595.1658,fft_og.exe
1,9,data/numbers_10000.txt,553.1764,fft_og.exe
2,9,data/numbers_10000.txt,547.3117,fft_og.exe
3,9,data/numbers_10000.txt,562.2760,fft_og.exe
4,9,data/numbers_10000.txt,580.4458,fft_og.exe
5,9,data/numbers_10000.txt,546.1649,fft_og.exe
6,9,data/numbers_10000.txt,551.6086,fft_og.exe
7,9,data/numbers_10000.txt,556.5626,fft_og.exe
8,9,data/numbers_10000.txt,574.2700,fft_og.exe
9,9,data/numbers_10000.txt,548.9170,fft_og.exe
10,9,data/numbers_10000.txt,548.0624,fft_og.exe
1,10,data/numbers_10000.txt,524.4359,fft_og.exe
2,10,data/numbers_10000.txt,518.4182,fft_og.exe
3,10,data/numbers_10000.txt,520.4147,fft_og.exe
4,10,data/numbers_10000.txt,549.8148,fft_og.exe
5,10,data/numbers_10000.txt,522.5055,fft_og.exe
6,10,data/numbers_10000.txt,520.6108,fft_og.exe
7,10,data/numbers_10000.txt,526.1445,fft_og.exe
8,10,data/numbers_10000.txt,520.7910,fft_og.exe
9,10,data/numbers_10000.txt,520.4872,fft_og.exe
10,10,data/numbers_10000.txt,518.3657,fft_og.exe
1,11,data/numbers_10000.txt,496.8968,fft_og.exe
2,11,data/numbers_10000.txt,491.6702,fft_og.exe
3,11,data/numbers_10000.txt,494.3262,fft_og.exe
4,11,data/numbers_10000.txt,490.8037,fft_og.exe
5,11,data/numbers_10000.txt,509.7169,fft_og.exe
6,11,data/numbers_10000.txt,490.5338,fft_og.exe
7,11,data/numbers_10000.txt,500.7508,fft_og.exe
8,11,data/numbers_10000.txt,497.9776,fft_og.exe
9,11,data/numbers_10000.txt,493.4616,fft_og.exe
10,11,data/numbers_10000.txt,489.7055,fft_og.exe
1,12,data/numbers_10000.txt,482.1709,fft_og.exe
2,12,data/numbers_10000.txt,488.9082,fft_og.exe
3,12,data/numbers_10000.txt,472.2673,fft_og.exe
4,12,data/numbers_10000.txt,474.2744,fft_og.exe
5,12,data/numbers_10000.txt,476.6702,fft_og.exe
6,12,data/numbers_10000.txt,490.2689,fft_og.exe
7,12,data/numbers_10000.txt,495.2514,fft_og.exe
8,12,data/numbers_10000.txt,506.2249,fft_og.exe
9,12,data/numbers_10000.txt,476.2263,fft_og.exe
10,12,data/numbers_10000.txt,472.3079,fft_og.exe
1,13,data/numbers_10000.txt,526.8589,fft_og.exe
2,13,data/numbers_10000.txt,513.7951,fft_og.exe
3,13,data/numbers_10000.txt,500.8674,fft_og.exe
4,13,data/numbers_10000.txt,497.8927,fft_og.exe
5,13,data/numbers_10000.txt,505.1324,fft_og.exe
6,13,data/numbers_10000.txt,516.6639,fft_og.exe
7,13,data/numbers_10000.txt,533.8566,fft_og.exe
8,13,data/numbers_10000.txt,545.2097,fft_og.exe
9,13,data/numbers_10000.txt,510.3959,fft_og.exe
10,13,data/numbers_10000.txt,498.8318,fft_og.exe
1,14,data/numbers_10000.txt,495.0459,fft_og.exe
2,14,data/numbers_10000.txt,513.0026,fft_og.exe
3,14,data/numbers_10000.txt,494.5444,fft_og.exe
4,14,data/numbers_10000.txt,495.3878,fft_og.exe
5,14,data/numbers_10000.txt,531.8845,fft_og.exe
6,14,data/numbers_10000.txt,497.4587,fft_og.exe
7,14,data/numbers_10000.txt,516.4330,fft_og.exe
8,14,data/numbers_10000.txt,529.5157,fft_og.exe
9,14,data/numbers_10000.txt,499.4037,fft_og.exe
10,14,data/numbers_10000.txt,521.5763,fft_og.exe
1,15,data/numbers_10000.txt,500.0875,fft_og.exe
2,15,data/numbers_10000.txt,500.8283,fft_og.exe
3,15,data/numbers_10000.txt,486.5892,fft_og.exe
4,15,data/numbers_10000.txt,497.4378,fft_og.exe
5,15,data/numbers_10000.txt,498.0995,fft_og.exe
6,15,data/numbers_10000.txt,485.7245,fft_og.exe
7,15,data/numbers_10000.txt,556.2065,fft_og.exe
8,15,data/numbers_10000.txt,522.1220,fft_og.exe
9,15,data/numbers_10000.txt,491.2022,fft_og.exe
10,15,data/numbers_10000.txt,481.2075,fft_og.exe
