Num Threads,Input File,Executable,Avg Execution Time (ms)
5,numbers_131072.txt,OMP_DFT_vanilla.exe,860.0096
5,numbers_134217728.txt,OMP_FFT.exe,58.0
5,numbers_16384.txt,OMP_DFT_optimized.exe,479345.1098
5,numbers_16384.txt,OMP_DFT_vanilla.exe,5880.0366
5,numbers_262144.txt,OMP_DFT_optimized.exe,69575.9999
5,numbers_262144.txt,OMP_DFT_vanilla.exe,94.5029
6,numbers_1024.txt,OMP_DFT_optimized.exe,238048.5605
6,numbers_1024.txt,OMP_DFT_vanilla.exe,22091.0
6,numbers_1048576.txt,OMP_FFT.exe,35.259
6,numbers_131072.txt,OMP_DFT_optimized.exe,1642936.2148
6,numbers_131072.txt,OMP_DFT_vanilla.exe,833.4563
6,numbers_134217728.txt,OMP_FFT.exe,58.0
6,numbers_16384.txt,OMP_DFT_optimized.exe,475317.3703
6,numbers_16384.txt,OMP_DFT_vanilla.exe,5185.8439
6,numbers_262144.txt,OMP_DFT_optimized.exe,63858.2873
6,numbers_262144.txt,OMP_DFT_vanilla.exe,89.0
7,numbers_1024.txt,OMP_DFT_optimized.exe,235007.8735
7,numbers_1024.txt,OMP_DFT_vanilla.exe,20684.0
7,numbers_1048576.txt,OMP_FFT.exe,34.4803
7,numbers_131072.txt,OMP_DFT_optimized.exe,1563256.8866
7,numbers_131072.txt,OMP_DFT_vanilla.exe,745.8776
7,numbers_134217728.txt,OMP_FFT.exe,57.6028
7,numbers_16384.txt,OMP_DFT_optimized.exe,444978.8362
7,numbers_16384.txt,OMP_DFT_vanilla.exe,4798.7984
7,numbers_262144.txt,OMP_DFT_optimized.exe,61145.2218
7,numbers_262144.txt,OMP_DFT_vanilla.exe,87.1503
8,numbers_1024.txt,OMP_DFT_optimized.exe,228595.8595
8,numbers_1024.txt,OMP_DFT_vanilla.exe,19830.0
8,numbers_1048576.txt,OMP_FFT.exe,34.4732
8,numbers_131072.txt,OMP_DFT_optimized.exe,1486680.7355
8,numbers_131072.txt,OMP_DFT_vanilla.exe,715.307
8,numbers_134217728.txt,OMP_FFT.exe,56.5405
8,numbers_16384.txt,OMP_DFT_optimized.exe,411958.8835
