Num Execution,Num Threads,Input File,Execution Time (ms),Executable
1,20,data/numbers_16384.txt,3647.0801,OMP_DFT_vanilla.exe
1,1,data/numbers_131072.txt,1471003.2087,OMP_DFT_vanilla.exe
1,2,data/numbers_131072.txt,849032.9542,OMP_DFT_vanilla.exe
1,3,data/numbers_131072.txt,584375.9895,OMP_DFT_vanilla.exe
1,4,data/numbers_131072.txt,475317.3703,OMP_DFT_vanilla.exe
1,5,data/numbers_131072.txt,444978.8362,OMP_DFT_vanilla.exe
1,6,data/numbers_131072.txt,411958.8835,OMP_DFT_vanilla.exe
1,7,data/numbers_131072.txt,390820.0249,OMP_DFT_vanilla.exe
1,8,data/numbers_131072.txt,373577.3270,OMP_DFT_vanilla.exe
1,9,data/numbers_131072.txt,355107.3105,OMP_DFT_vanilla.exe
1,10,data/numbers_131072.txt,338701.6726,OMP_DFT_vanilla.exe
1,11,data/numbers_131072.txt,324202.4757,OMP_DFT_vanilla.exe
1,12,data/numbers_131072.txt,310386.5185,OMP_DFT_vanilla.exe
1,13,data/numbers_131072.txt,295217.8292,OMP_DFT_vanilla.exe
1,14,data/numbers_131072.txt,281668.5481,OMP_DFT_vanilla.exe
1,15,data/numbers_131072.txt,268516.7607,OMP_DFT_vanilla.exe
1,16,data/numbers_131072.txt,257734.2353,OMP_DFT_vanilla.exe
1,17,data/numbers_131072.txt,246908.4213,OMP_DFT_vanilla.exe
1,18,data/numbers_131072.txt,238545.2693,OMP_DFT_vanilla.exe
1,19,data/numbers_131072.txt,228595.8595,OMP_DFT_vanilla.exe
1,20,data/numbers_131072.txt,222974.8480,OMP_DFT_vanilla.exe
1,1,data/numbers_262144.txt,5878450.3123,OMP_DFT_vanilla.exe
1,2,data/numbers_262144.txt,3381587.6246,OMP_DFT_vanilla.exe
1,3,data/numbers_262144.txt,2363014.0393,OMP_DFT_vanilla.exe
1,4,data/numbers_262144.txt,1899556.5558,OMP_DFT_vanilla.exe
1,5,data/numbers_262144.txt,1766440.4651,OMP_DFT_vanilla.exe
1,6,data/numbers_262144.txt,1642936.2148,OMP_DFT_vanilla.exe
1,7,data/numbers_262144.txt,1563256.8866,OMP_DFT_vanilla.exe
1,8,data/numbers_262144.txt,1486680.7355,OMP_DFT_vanilla.exe
1,9,data/numbers_262144.txt,1401883.2512,OMP_DFT_vanilla.exe
1,10,data/numbers_262144.txt,1347617.1082,OMP_DFT_vanilla.exe
1,11,data/numbers_262144.txt,1287492.9033,OMP_DFT_vanilla.exe
1,12,data/numbers_262144.txt,1234108.2088,OMP_DFT_vanilla.exe
1,13,data/numbers_262144.txt,1176355.5018,OMP_DFT_vanilla.exe
1,14,data/numbers_262144.txt,1122982.9460,OMP_DFT_vanilla.exe
1,15,data/numbers_262144.txt,1070598.0977,OMP_DFT_vanilla.exe
1,16,data/numbers_262144.txt,1025418.8885,OMP_DFT_vanilla.exe
1,17,data/numbers_262144.txt,984437.6456,OMP_DFT_vanilla.exe
1,18,data/numbers_262144.txt,948514.0495,OMP_DFT_vanilla.exe
1,19,data/numbers_262144.txt,917100.5621,OMP_DFT_vanilla.exe
1,20,data/numbers_262144.txt,888502.2377,OMP_DFT_vanilla.exe
