Threads per Block,Input File,Executable,Avg Execution Time (ms),Avg Kernel Time (ms),Avg Transfer Time (ms)
64,numbers_134217728.txt,CUDA_fft_v01.exe,2243.21511,1580.10735,663.10773
64,numbers_134217728.txt,CUDA_fft_v02.exe,529.9919,200.1806,329.8107
64,numbers_134217728.txt,CUDA_fft_v03.exe,351.0388,22.30512,328.7337
64,numbers_16777216.txt,CUDA_fft_v01.exe,261.19248,178.80398,82.3885
64,numbers_16777216.txt,CUDA_fft_v02.exe,65.32534000000001,23.95644,41.368880000000004
64,numbers_16777216.txt,CUDA_fft_v03.exe,44.4152,3.052942,41.36227
64,numbers_2097152.txt,CUDA_fft_v01.exe,32.71952,22.1666,10.5529
64,numbers_2097152.txt,CUDA_fft_v02.exe,8.600669,3.180387,5.420279
64,numbers_2097152.txt,CUDA_fft_v03.exe,5.9209499999999995,0.4796448,5.441305
64,numbers_33554432.txt,CUDA_fft_v01.exe,533.54339,368.09221,165.4512
64,numbers_33554432.txt,CUDA_fft_v02.exe,131.1465,48.75947,82.38694000000001
64,numbers_33554432.txt,CUDA_fft_v03.exe,88.39035,6.03086,82.35946
64,numbers_4194304.txt,CUDA_fft_v01.exe,64.70656,43.54117,21.16545
64,numbers_4194304.txt,CUDA_fft_v02.exe,17.034110000000002,6.410541,10.623568
64,numbers_4194304.txt,CUDA_fft_v03.exe,11.44083,0.9088964,10.531917
64,numbers_67108864.txt,CUDA_fft_v01.exe,1096.6792,762.20501,334.47419
64,numbers_67108864.txt,CUDA_fft_v02.exe,263.9946,99.62034,164.37442000000001
64,numbers_67108864.txt,CUDA_fft_v03.exe,175.80059999999997,11.46478,164.33584000000002
64,numbers_8388608.txt,CUDA_fft_v01.exe,129.2846,87.89282,41.39181
64,numbers_8388608.txt,CUDA_fft_v02.exe,32.65046,11.845830000000001,20.80464
64,numbers_8388608.txt,CUDA_fft_v03.exe,22.59817,1.748579,20.84958
96,numbers_134217728.txt,CUDA_fft_v01.exe,2244.3252700000003,1580.13211,664.19315
96,numbers_134217728.txt,CUDA_fft_v02.exe,533.6011000000001,199.63240000000002,333.9688
96,numbers_134217728.txt,CUDA_fft_v03.exe,349.0379,20.410339999999998,328.62780000000004
96,numbers_16777216.txt,CUDA_fft_v01.exe,264.74980999999997,180.45531,84.29451
96,numbers_16777216.txt,CUDA_fft_v02.exe,65.65029,23.969389999999997,41.68089
96,numbers_16777216.txt,CUDA_fft_v03.exe,44.30044,2.9701180000000003,41.330330000000004
96,numbers_2097152.txt,CUDA_fft_v01.exe,33.28429,22.723580000000002,10.56071
96,numbers_2097152.txt,CUDA_fft_v02.exe,8.52951,3.112135,5.417375
96,numbers_2097152.txt,CUDA_fft_v03.exe,5.8912059999999995,0.43634880000000004,5.454857
96,numbers_33554432.txt,CUDA_fft_v01.exe,534.99446,369.70267,165.29182
96,numbers_33554432.txt,CUDA_fft_v02.exe,131.1519,48.60013,82.55177
96,numbers_33554432.txt,CUDA_fft_v03.exe,87.62038,5.0510269999999995,82.56935999999999
96,numbers_4194304.txt,CUDA_fft_v01.exe,64.63529,43.7815,20.85379
96,numbers_4194304.txt,CUDA_fft_v02.exe,17.109879999999997,6.405888,10.703985
96,numbers_4194304.txt,CUDA_fft_v03.exe,11.34295,0.8148861999999999,10.528063
96,numbers_67108864.txt,CUDA_fft_v01.exe,1090.78296,761.3904399999999,329.39252
96,numbers_67108864.txt,CUDA_fft_v02.exe,264.8656,100.16611,164.69938
96,numbers_67108864.txt,CUDA_fft_v03.exe,174.62439999999998,10.126389,164.498
96,numbers_8388608.txt,CUDA_fft_v01.exe,129.44484,87.93489,41.50994
96,numbers_8388608.txt,CUDA_fft_v02.exe,33.017790000000005,12.193290000000001,20.824530000000003
96,numbers_8388608.txt,CUDA_fft_v03.exe,22.33825,1.511445,20.8268
